Sport,Week 1,,,Week 2,,,Week 3,,,Week 4,,,Week 5,,,Week 6,,,Week 7,,,Week 8,,,Week 9,,,Week 10,,,Week 11,,,Week 12,,
Baseball,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST
Basketball,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Boxing,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST
Diving,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST
Football (American) for Linemen,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
Football (American) for QB,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,SST,SST
Football (American) for Backs,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,PoST
Gymnastics,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Golf,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
Ice Hockey,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST
Lacrosse,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST
Marathon,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST
Mixed Martial Arts,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST
Powerlifting,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
Skiing (Cross-Country),PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST,SST
Skiing (Downhill),PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST
Soccer,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST
Swimming (Short Distance),PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Swimming (Long Distance),SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST
Tennis,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Track (Short Distance),PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Track (Long Distance),SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST
Ultra-Endurance Sports,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST
Volleyball,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST
Wrestling,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST
Weightlifting,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,SST,SST,PoST,PoST,PoST,PoST
